0;Before Sleep Breathing;Gunakan cara pernafasan ini untuk efek fokus dan tenang.;Pernafasan;20;20 Detik;bed.double.circle;Mindful_Breathing_Timer;4-7-8-0-4;Posisikan diri dalam keadaan duduk atau berbaring dengan lurus. Pastikan anda merasa nyaman dan tidak terganggu. Apabila terhenti di tengah, jangan panik. Tetap lanjutkan exercise-mu!;Cemas,Stress;Fokus,Tidur
1;Daily Affirmations;Afirmasi adalah pernyataan yang diulangi untuk mengubah pikiran bawah sadarmu. Seiring waktu, mereka akan mengganti pikiran negatif dengan pikiran positif. Kamu akan merasa lebih percaya diri, bersemangat, dan positif.;Jurnal;120;1-2 Menit;text.quote;JournalingView;;Tuliskan keadaan anda hari ini walaupun hanya 1 kata. untuk lebih jujur mengenal diri sendiri.;Low self-esteem,Negatif,Stress;Optimis
2;Gratitude List;Dengan menuliskan hal yang Anda syukuri, Anda dapat merasakan dan menikmati lebih banyak perasaan positif yang mungkin tidak anda sadari sebelumnya.;Jurnal;240;4 Menit;square.text.square;GratitudeListView;;Tulis 5 -10 hal yang kamu syukuri hari ini. Tidak perlu berpikir panjang. Tulis saja hal yang simple, namun spesifik.;Senang,Stress;Sadar,Optimis,Kreatif,Tidur
3;Morning Pages;Dalam melakukan morning pages, kita bebas mau menulis apa saja, tanpa ada batasan struktur kalimat, sensor, atau alur tulisan. Morning pages sendiri memiliki manfaat bagi kreativitas dan kesehatan mental Anda;Jurnal;600;10 Menit;magazine.fill;MorningPagesView;;Tuliskan apapun yang terpikirkan dalam benak anda untuk menyalurkan segala pikiran, kecemasan, atau ide. Satu-satunya batasan adalah tulisan anda harus melebihi 200 kata. (3 pages?);Sedih,Cemas,Putus asa;Optimis
4;Intention Setting;Aktivitas ini dapat membantumu untuk fokus dalam mencapai tujuanmu! Intention Setting akan memberimu tujuan, inspirasi, dan motivasi dalam menjalani harimu.;Jurnal;120;2 Menit;menucard.fill;IntentionSettingView;;Tuliskan cara yang akan kamu pegang dalam menjalani hari ini;Cemas,Emosional,Kecewa;Kreatif
5;5 Sense Exercise;Kunci untuk mewujudkan mindfulness adalah dengan menjadi pengamat yang jeli. Dengan menggunakan 5 panca indera (suara, penciuman, penglihatan, rasa, dan sentuhan), kamu dapat meningkatkan pengalamanmu dengan dunia sekitarmu.;Observasi;120;2 Menit;touchid;FiveSenseExerciseView;;Cara ini akan membantu mengingatkanmu untuk lebih sadar dengan menggunakan 5 indera yang kamu miliki.;Stress,Kecewa;Kreatif,Sadar,Fokus
6;Watch the clouds;Aktivitas ini ideal ketika kamu merasa stres, tertekan, atau cemas. Dengan mengamati langit, kamu dapat merasa lebih relaks. Perhatikanlah bentuk dan warnanya.;Observasi Outdoor;300;5 Menit;cloud.sun.fill;WatchTheCloudView;;Berhenti sejenak dan posisikan dirimu dengan senyaman mungkin. Amatilah langit di atasmu! Perhatikan bentuk awan yang lewat atau warna yang ada;Senang,Sedih,Stress;Tenang,Sadar
7;Heart beat;Latihan selama 1 menit untuk menjadi lebih sadar dengan memperhatikan ritme detak jantung mu. Aktivitas ini dapat membantumu dalam menenangkan diri dan menjadi lebih fokus.;Observasi;60;1 Menit;bolt.heart;HearthBeatView;;Letakkan 2 jari kanan kamu mendekati denyut nadi yang ada di tangan kiri. Tap tombol ketika anda merasakan detakan selama 1 menit.;Kecewa,Sedih,Senang;Fokus,Tenang
8;Box Breathing;Gunakan cara pernapasan ini untuk membantu dalam manajemen stres dan kesehatan.;Pernafasan;64;2 Menit;lungs.fill;Mindful_Breathing_Timer;4-4-4-4-4;Temukan tempat yang tenang dan nyaman ketika melakukan teknik ini. Apabila terhenti di tengah, jangan panik. Tetap lanjutkan exercise-mu!;Stress,Cemas,Marah,Panik;Tenang
9;Quick breathing;Teknik ini menggerakkan sistem saraf parasimpatismu dan memberimu efek menenangkan.;Pernafasan;60;1 Menit;hare.fill;Mindful_Breathing_Timer;5-5-5-0-4;Posisikan dirimu dengan nyaman sebelum memulai pernafasan yang singkat ini.;Kecewa,Gugup,Cemas;Tenang
10;Focus Breathing;Kamu dapat menggunakan pernafasan ini ketika sedang merasa stres atau tegang.;Pernafasan;64;1-2 Menit;eye.trianglebadge.exclamationmark.fill;Mindful_Breathing_Timer;4-4-8-0-4;Gunakan pernapasan perut ketika menarik nafas, kemudian lepaskan dengan suara mendesing (whoosh). Apabila terhenti di tengah, jangan panik. Tetap lanjutkan exercise-mu!;Stress,Senang;Tenang,Fokus
